,Unnamed: 0,y,z,alpha,R,Time Step,flow-time,Eloss,Ekin,max-skewness,TVPG,ven-vol,flow-av,flow-mv,WSS,wss-1,wss-2,wss-3,wss-4,wss-5,wss-6,wss-7,wss-8,wss-9,wss-10,wss-11,wss-12,wss-13,wss-14,wss-15,wss-16,wss-17,mv-pressure-drop
46,46,-4.675,51.525,-4.625,4.0625,960.5,2.229157214999979,2.37066055081079e-05,0.001145190730677,0.8619452234482046,119.6072842534837,1.1977336079620494e-05,-1.6743007694504947e-05,1.4671376146269863e-05,3.844781348346953,3.029242387380329,12.288051302537264,12.744476290074864,2.820075317543485,3.948767637281252,4.266310478272687,1.9166721005187644,2.532544301913318,3.5739425265802875,2.276543064526352,2.49084901221008,2.7408735360490377,4.215290313823807,6.855761105178487,5.124277028745112,5.414067359533823,4.567291825833944,561.583992507907
49,49,-4.525,52.375,2.125,3.2625,960.5,2.229157214999979,3.9350886032333394e-05,0.0016021982923981,0.913374824355788,203.60126620071853,1.1925626103276726e-05,-1.606923346203161e-05,1.4075998339726694e-05,4.652133084596994,3.3880482450532057,12.519633182901108,13.164225415021043,2.9534869500650265,5.16359070233968,5.154826340517531,2.005885967804831,3.321834633822885,3.408571670498044,2.932740784815705,2.631299777331543,2.362746510741791,6.588846526832367,9.954508328490542,6.734554269766633,5.447068158789112,7.007241180236267,430.4728246034302
50,50,-4.475,50.375,-5.625,3.7125,960.5,2.229157214999979,2.9904197776501265e-05,0.0012933944436045,0.8639959983579415,147.6188070102714,1.186797675486271e-05,-1.6525423748997082e-05,1.4483750626074588e-05,4.28634534609044,3.47443778526562,11.723693602139784,12.624155427876037,3.0809520453512134,4.48929995610978,5.100377903684353,2.042600587409229,2.5382661823383064,4.090948853693641,2.55279361335966,3.0186781636776048,3.603373732518629,4.392461474188189,7.508489643208285,5.279164507875114,6.877557535972946,5.668673236442151,513.9289721508709
51,51,-4.425,51.225,6.875,3.2375,960.5,2.229157214999979,4.314793382127476e-05,0.0015420321786649,0.8709613749690259,188.75820663559156,1.1899497093406596e-05,-1.604480595983628e-05,1.4108419970242538e-05,4.962955671412266,2.9826916845999585,11.731265474146788,12.989635959226211,3.3325815621131696,4.8745928349076655,4.606161397798527,2.728496737030496,2.286956475801446,2.141082698762081,3.625666383216256,3.2418655141948305,2.8394150009764294,8.240348222700314,7.13306373105448,8.280457824111263,8.182492700602035,8.712724947286517,445.3972944144582
54,54,-4.275,49.925,3.875,4.2125,960.5,2.229157214999979,1.925678137317933e-05,0.0009154566824849,0.8637485366809343,118.9236481780074,1.1855540881301217e-05,-1.6887401510962827e-05,1.4806849992159708e-05,3.085029565474094,2.485438691553284,9.856207313989094,11.03264848996755,2.63485779109549,3.2952764151962297,3.28276784564733,1.5576161674983533,1.9310098588616864,1.992582160040424,2.218243638373322,1.934189010217028,1.6557541368650248,3.967647683229905,4.511598156269407,4.702657484671158,3.9648501284557462,3.609746851644626,522.9933380911291
55,55,-4.225,52.925,-0.125,4.1125,960.5,2.229157214999979,2.194338535459254e-05,0.0010921093027329,0.9109114457023753,123.84882652878498,1.2081541556965022e-05,-1.6830663488090044e-05,1.471399772830421e-05,3.538969168235229,2.823130066936305,13.264332547906331,14.166874247150464,2.655111754192462,3.711754048098933,3.645587699158826,1.5240328166244927,2.0737258809252777,3.0082557933994654,2.3612713905028917,2.3076043680029037,2.513127068714156,4.240129021267404,6.484400844650583,4.819512210523919,4.087854999045167,3.977449791217583,616.9838318474651
57,57,-4.125,50.075,7.125,3.5375,960.5,2.229157214999979,3.466316895340454e-05,0.0012781113409896,0.8927585859559524,143.25353897339326,1.1768834747240577e-05,-1.6351128935927276e-05,1.4364013964810392e-05,4.344564566238356,2.597557968562141,10.44136262402204,11.22691799839558,3.003320160608202,4.407048196686651,4.364125133058697,1.833696523897333,1.9039495819508765,1.924655847102458,2.9738891148089217,2.5155959968396786,1.4848264588200204,7.180025649489276,7.415384119565419,8.027334696386415,6.339940000269531,7.866725730724772,460.0285947064691
59,59,-4.025,49.775,6.375,4.3375,960.5,2.229157214999979,2.1004972992750417e-05,0.0008881745467936,0.8585542145983269,111.06346614119926,1.1847693944419874e-05,-1.694385279080281e-05,1.487866596468183e-05,3.383879738343469,2.445230732303138,9.489609830551506,11.210364079646183,2.670157230080271,3.473008617271265,3.294634878685033,2.0129781931539137,1.925826088471352,1.9341111448244888,1.9972382322803093,2.127693907245329,1.7282329418048017,5.258370705436055,5.2846090020117495,5.340970844076593,5.453608337090666,3.8697765169003295,536.7352768738882
60,60,-3.975,50.675,3.125,4.2375,960.5,2.229157214999979,1.8491262690557945e-05,0.0009039893350831,0.8839313967195792,118.26467055463289,1.1938710637015674e-05,-1.6913273634558248e-05,1.4825972020793947e-05,3.01264530033452,2.962328027020785,11.367457040086755,12.070528094725612,2.7594828018440296,3.4474221476095064,3.481801674157795,1.708269324180609,1.9017931638280243,2.015324369082443,2.120463948532123,2.293920420733185,2.049140303460617,3.552326055928063,4.153567669110618,4.140134147876855,3.583984957298604,3.001168604352709,561.2525874305868
61,61,-3.925,51.425,-6.125,3.8875,960.5,2.229157214999979,2.6289732486223072e-05,0.0012050348759026,0.8631504469579977,129.05249810024696,1.1908437987666778e-05,-1.6660481082946317e-05,1.4585930572688744e-05,4.080365451079464,3.455370192446686,12.11731130468402,12.31880423867712,2.804496630336065,4.684565913317021,4.856918514780975,1.9487932540431436,2.5697608159707825,3.6343061240174,2.331132116609248,2.9842251953902594,3.593253315687301,4.430614633790049,6.935521192574906,4.956472010499523,6.304359265606185,4.98842890446347,548.6613142209596
